31-26,素手
175-20,[片手剣]オートクレール
183-100,[片手剣]スチールキリジ
184-97,[片手剣]ホフド
110-43,[片手棍]名称不明
110-60,[片手棍]オークカジェル
110-61,[片手棍]ボーンカジェル
110-62,[片手棍]ブッディガン
110-63,[片手棍]ダークメイス
110-64,[片手棍]ブロンズメイス
110-65,[片手棍]プラチナメイス
110-66,[片手棍]メイス
110-67,[片手棍]ミスリルメイス
110-68,[片手棍]アッシュクラブ
110-69,[片手棍]チェスナットクラブ
110-70,[片手棍]シェルバスター
110-71,[片手棍]グレートクラブ
110-72,[片手棍]ダークモール
110-73,[片手棍]ブロンズハンマー
110-74,[片手棍]ブラスハンマー
110-75,[片手棍]ウォーハンマー
110-76,[片手棍]モール
110-114,[片手棍]セプター
110-115,[片手棍]ダークロッド
110-116,[片手棍]ブロンズロッド
110-117,[片手棍]ブラスロッド
110-118,[片手棍]ロッド
110-119,[片手棍]ミスリルロッド
110-120,[片手棍]ボーンロッド
110-121,[片手棍]エボニーワンド
110-122,[片手棍]ユーワンド
110-123,[片手棍]メープルワンド
110-124,[片手棍]神代の錫
110-125,[片手棍]ミステルテイン
110-126,[片手棍]ローズワンド
110-127,[片手棍]チェスナットワンド
111-0,[片手棍]ウィローワンド
111-1,[片手棍]カドゥケウス
111-2,[片手棍]名称不明01
111-3,[片手棍]名称不明02
111-4,[片手棍]チョコボワンド
111-5,[片手棍]名称不明04
111-6,[片手棍]名称不明05
111-7,[片手棍]名称不明06
111-8,[片手棍]スターロッド
111-9,[片手棍]アスクレピオス
111-10,[片手棍]呪術の杖
111-11,[片手棍]スキールニルワンド
111-12,[片手棍]アースワンド
111-13,[片手棍]名称不明10
111-14,[片手棍]名称不明11
111-15,[片手棍]名称不明12
111-16,[片手棍]フェイワンド
111-57,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-9,[片手棍]ルーンロッド(ﾙｰﾝ)
142-18,[片手棍]名称不明15
149-82,[片手棍]モルゲンステルン
150-106,[片手棍]名称不明
159-100,[片手棍]チャームロッド
160-121,[片手棍]モグロッド
164-30,[片手棍]ジャダグナ
170-35,[片手棍]ノマドモグロッド
175-44,[片手棍]胡鬼板
183-99,[片手棍]ブラスジャダグナ
110-44,[片手斧]ブロンズアクス
110-45,[片手斧]ブラスアクス
110-46,[片手斧]バトルアクス
110-47,[片手斧]ミスリルアクス
110-48,[片手斧]ボーンアクス
110-49,[片手斧]タバルジン
110-50,[片手斧]ダークタバール
110-51,[片手斧]タバール
110-52,[片手斧]ダークアクス
110-53,[片手斧]ルーンアクス
110-54,[片手斧]ナトジーク
110-55,[片手斧]ダークピック
110-56,[片手斧]ウォーピック
110-57,[片手斧]ミスリルピック
110-58,[片手斧]ボーンピック
110-59,[片手斧]オーキシュアクス
142-21,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-73,[片手斧]トマホーク
171-96,[片手斧]シリウスアクス
111-58,[片手刀]不動
111-59,[片手刀]脇指
111-60,[片手刀]小太刀
111-61,[片手刀]桜吹雪
111-62,[片手刀]兜割
111-63,[片手刀]雁行
111-64,[片手刀]苦無
142-19,[片手刀]鬼哭
152-15,[片手刀]釵
158-67,[片手刀]緋連雀
171-97,[片手刀]龍門
172-43,[片手刀]隼
183-98,[片手刀]十六夜
36-3,[盾]名称不明01
36-4,[盾]名称不明02
36-5,[盾]リッターシルト
36-6,[盾]リッターシルト(予備
36-7,[盾]カイトシールド
36-8,[盾]ヒーターシールド
36-9,[盾]王立騎士団制式盾
36-10,[盾]神殿騎士団制式盾
36-11,[盾]近衛騎士制式盾
36-12,[盾]ダークシールド
36-13,[盾]甲羅の盾
36-14,[盾]畳楯
36-15,[盾]スクトゥム
36-16,[盾]タワーシールド
36-17,[盾]フェアリーシールド
36-18,[盾]メープルシールド
36-19,[盾]ラワンシールド
36-20,[盾]オークシールド
36-21,[盾]エルムシールド
36-22,[盾]マホガニーシールド
36-23,[盾]アスピス
36-24,[盾]ゴールドバックラー
36-25,[盾]タージェ
36-26,[盾]バックラー
36-27,[盾]ダークバックラー
36-28,[盾]オーキシュシールド
122-69,[盾]ジェネラルシールド
122-70,[盾]ケーニヒシールド
130-58,[盾]アケロンシールド
155-83,[盾]イージス
155-97,[盾]甲羅の盾(別ver.)
164-120,[盾]タリカー
164-121,[盾]ジャヌイヤ

