31-26,素手
109-104,[片手剣]サパラ
109-105,[片手剣]シミター
109-106,[片手剣]タルワール
109-107,[片手剣]ハンガー
109-108,[片手剣]リディル
109-109,[片手剣]ダークファルシオン
109-110,[片手剣]プラチナカトラス
109-111,[片手剣]ファルシオン
109-112,[片手剣]カトラス
109-113,[片手剣]サイフォス
109-114,[片手剣]ブラスサイフォス
109-115,[片手剣]グラディウス
109-116,[片手剣]ダークソード
109-117,[片手剣]ブロンズソード
109-118,[片手剣]ジャドプラーテ
109-119,[片手剣]アイアンソード
109-120,[片手剣]ミスリルソード
109-121,[片手剣]ダインスレイフ
109-122,[片手剣]サーメットソード
109-123,[片手剣]アネラス
109-124,[片手剣]カッツバルゲル
109-125,[片手剣]ブロードソード
109-126,[片手剣]珊瑚の剣
109-127,[片手剣]フロッティ
110-0,[片手剣]バスタードソード
110-1,[片手剣]ハンティングソード
110-2,[片手剣]エスパドン
110-3,[片手剣]ナズ
110-4,[片手剣]古代の剣
110-5,[片手剣]カイザーソード
110-6,[片手剣]ダイセクター
110-7,[片手剣]名称不明09
110-8,[片手剣]グラットンソード
110-9,[片手剣]ウィングソード
142-7,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-102,[片手剣]ショテル
164-25,[片手剣]キリジ
164-119,[片手剣]マクアフティル
170-1,[片手剣]ダークキリジ
170-126,[片手剣]ドラゴンスレイヤー
171-93,[片手剣]サングインソード
175-18,[片手剣]オートクレール
183-97,[片手剣]スチールキリジ
184-96,[片手剣]ホフド
108-124,[片手棍]名称不明
109-13,[片手棍]オークカジェル
109-14,[片手棍]ボーンカジェル
109-15,[片手棍]ブッディガン
109-16,[片手棍]ダークメイス
109-17,[片手棍]ブロンズメイス
109-18,[片手棍]プラチナメイス
109-19,[片手棍]メイス
109-20,[片手棍]ミスリルメイス
109-21,[片手棍]アッシュクラブ
109-22,[片手棍]チェスナットクラブ
109-23,[片手棍]シェルバスター
109-24,[片手棍]グレートクラブ
109-25,[片手棍]ダークモール
109-26,[片手棍]ブロンズハンマー
109-27,[片手棍]ブラスハンマー
109-28,[片手棍]ウォーハンマー
109-29,[片手棍]モール
109-67,[片手棍]セプター
109-68,[片手棍]ダークロッド
109-69,[片手棍]ブロンズロッド
109-70,[片手棍]ブラスロッド
109-71,[片手棍]ロッド
109-72,[片手棍]ミスリルロッド
109-73,[片手棍]ボーンロッド
109-74,[片手棍]エボニーワンド
109-75,[片手棍]ユーワンド
109-76,[片手棍]メープルワンド
109-77,[片手棍]神代の錫
109-78,[片手棍]ミステルテイン
109-79,[片手棍]ローズワンド
109-80,[片手棍]チェスナットワンド
109-81,[片手棍]ウィローワンド
109-82,[片手棍]カドゥケウス
109-83,[片手棍]名称不明
109-84,[片手棍]名称不明
109-85,[片手棍]チョコボワンド
109-86,[片手棍]名称不明
109-87,[片手棍]名称不明
109-88,[片手棍]名称不明
109-89,[片手棍]スターロッド
109-90,[片手棍]アスクレピオス
109-91,[片手棍]呪術の杖
109-92,[片手棍]スキールニルワンド
109-93,[片手棍]アースワンド
109-94,[片手棍]名称不明
109-95,[片手棍]名称不明
109-96,[片手棍]名称不明
109-97,[片手棍]フェイワンド
110-10,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-9,[片手棍]ルーンロッド(ﾙｰﾝ)
142-10,[片手棍]名称不明
149-80,[片手棍]モルゲンステルン
150-103,[片手棍]名称不明
159-99,[片手棍]チャームロッド
160-120,[片手棍]モグロッド
164-27,[片手棍]ジャダグナ
170-34,[片手棍]ノマドモグロッド
175-43,[片手棍]胡鬼板
183-96,[片手棍]ブラスジャダグナ
108-125,[片手斧]ブロンズアクス
108-126,[片手斧]ブラスアクス
108-127,[片手斧]バトルアクス
109-0,[片手斧]ミスリルアクス
109-1,[片手斧]ボーンアクス
109-2,[片手斧]タバルジン
109-3,[片手斧]ダークタバール
109-4,[片手斧]タバール
109-5,[片手斧]ダークアクス
109-6,[片手斧]ルーンアクス
109-7,[片手斧]ナトジーク
109-8,[片手斧]ダークピック
109-9,[片手斧]ウォーピック
109-10,[片手斧]ミスリルピック
109-11,[片手斧]ボーンピック
109-12,[片手斧]オーキシュアクス
142-13,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-72,[片手斧]トマホーク
171-91,[片手斧]シリウスアクス
110-11,[片手刀]不動
110-12,[片手刀]脇指
110-13,[片手刀]小太刀
110-14,[片手刀]桜吹雪
110-15,[片手刀]兜割
110-16,[片手刀]雁行
110-17,[片手刀]苦無
142-11,[片手刀]鬼哭
152-14,[片手刀]釵
158-66,[片手刀]緋連雀
171-92,[片手刀]龍門
172-40,[片手刀]隼
183-95,[片手刀]十六夜
31-27,[盾]名称不明
31-28,[盾]名称不明
31-29,[盾]リッターシルト
31-30,[盾]リッターシルト(予備
31-31,[盾]カイトシールド
31-32,[盾]ヒーターシールド
31-33,[盾]王立騎士団制式盾
31-34,[盾]神殿騎士団制式盾
31-35,[盾]近衛騎士制式盾
31-36,[盾]ダークシールド
31-37,[盾]甲羅の盾
31-38,[盾]畳楯
31-39,[盾]スクトゥム
31-40,[盾]タワーシールド
31-41,[盾]フェアリーシールド
31-42,[盾]メープルシールド
31-43,[盾]ラワンシールド
31-44,[盾]オークシールド
31-45,[盾]エルムシールド
31-46,[盾]マホガニーシールド
31-47,[盾]アスピス
31-48,[盾]ゴールドバックラー
31-49,[盾]タージェ
31-50,[盾]バックラー
31-51,[盾]ダークバックラー
31-52,[盾]オーキシュシールド
122-66,[盾]ジェネラルシールド
122-67,[盾]ケーニヒシールド
130-57,[盾]アケロンシールド
155-82,[盾]イージス
155-96,[盾]甲羅の盾(別ver.)
164-117,[盾]タリカー
164-118,[盾]ジャヌイヤ


