33-124,素手
35-86,[片手剣]ブラスサイフォス
35-87,[片手剣]グラディウス
35-88,[片手剣]ダークソード
35-89,[片手剣]ブロンズソード
35-90,[片手剣]ジャドプラーテ
35-91,[片手剣]アイアンソード
35-92,[片手剣]ミスリルソード
35-93,[片手剣]ダインスレイフ
35-94,[片手剣]サーメットソード
35-95,[片手剣]アネラス
35-96,[片手剣]カッツバルゲル
35-97,[片手剣]ブロードソード
35-98,[片手剣]珊瑚の剣
35-99,[片手剣]フロッティ
35-100,[片手剣]バスタードソード
35-101,[片手剣]ハンティングソード
35-102,[片手剣]エスパドン
35-103,[片手剣]ナズ
35-104,[片手剣]古代の剣
35-105,[片手剣]カイザーソード
35-106,[片手剣]ダイセクター
35-107,[片手剣]名称不明09
35-108,[片手剣]グラットンソード
35-109,[片手剣]ウィングソード
120-51,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-39,[片手剣]ショテル
163-16,[片手剣]キリジ
164-111,[片手剣]マクアフティル
169-111,[片手剣]ダークキリジ
170-103,[片手剣]ドラゴンスレイヤー
171-55,[片手剣]サングインソード
175-6,[片手剣]オートクレール
183-73,[片手剣]スチールキリジ
184-84,[片手剣]ホフド
34-12,[片手棍]名称不明
34-49,[片手棍]オークカジェル
34-50,[片手棍]ボーンカジェル
34-51,[片手棍]ブッディガン
34-52,[片手棍]ダークメイス
34-53,[片手棍]ブロンズメイス
34-54,[片手棍]プラチナメイス
34-55,[片手棍]メイス
34-56,[片手棍]ミスリルメイス
34-57,[片手棍]アッシュクラブ
34-58,[片手棍]チェスナットクラブ
34-59,[片手棍]シェルバスター
34-60,[片手棍]グレートクラブ
34-61,[片手棍]ダークモール
34-62,[片手棍]ブロンズハンマー
34-63,[片手棍]ブラスハンマー
34-64,[片手棍]ウォーハンマー
34-65,[片手棍]モール
35-39,[片手棍]セプター
35-40,[片手棍]ダークロッド
35-41,[片手棍]ブロンズロッド
35-42,[片手棍]ブラスロッド
35-43,[片手棍]ロッド
35-44,[片手棍]ミスリルロッド
35-45,[片手棍]ボーンロッド
35-46,[片手棍]エボニーワンド
35-47,[片手棍]ユーワンド
35-48,[片手棍]メープルワンド
35-49,[片手棍]神代の錫
35-50,[片手棍]ミステルテイン
35-51,[片手棍]ローズワンド
35-52,[片手棍]チェスナットワンド
35-53,[片手棍]ウィローワンド
35-54,[片手棍]カドゥケウス
35-55,[片手棍]名称不明
35-56,[片手棍]名称不明
35-57,[片手棍]チョコボワンド
35-58,[片手棍]名称不明
35-59,[片手棍]名称不明
35-60,[片手棍]名称不明
35-61,[片手棍]スターロッド
35-62,[片手棍]アスクレピオス
35-63,[片手棍]呪術の杖
35-64,[片手棍]スキールニルワンド
35-65,[片手棍]アースワンド
35-66,[片手棍]名称不明10
35-67,[片手棍]名称不明11
35-68,[片手棍]名称不明12
35-69,[片手棍]フェイワンド
36-0,[片手棍]ミョルニル(ﾚﾘｯｸ5)
137-23,[片手棍]ルーンロッド(ﾙｰﾝ)
137-30,[片手棍]名称不明15
149-12,[片手棍]モルゲンステルン
150-40,[片手棍]名称不明
159-93,[片手棍]チャームロッド
160-114,[片手棍]モグロッド
163-106,[片手棍]ジャダグナ
170-28,[片手棍]ノマドモグロッド
175-37,[片手棍]胡鬼板
183-72,[片手棍]ブラスジャダグナ
34-25,[片手斧]ブロンズアクス
34-26,[片手斧]ブラスアクス
34-27,[片手斧]バトルアクス
34-28,[片手斧]ミスリルアクス
34-29,[片手斧]ボーンアクス
34-30,[片手斧]タバルジン
34-31,[片手斧]ダークタバール
34-32,[片手斧]タバール
34-33,[片手斧]ダークアクス
34-34,[片手斧]ルーンアクス
34-35,[片手斧]ナトジーク
34-36,[片手斧]ダークピック
34-37,[片手斧]ウォーピック
34-38,[片手斧]ミスリルピック
34-39,[片手斧]ボーンピック
34-40,[片手斧]オーキシュアクス
137-34,[片手斧]ガトラー(ﾚﾘｯｸ5)
144-16,[片手斧]トマホーク
171-52,[片手斧]シリウスアクス
98-78,[片手刀]不動
98-79,[片手刀]脇指
98-80,[片手刀]小太刀
98-81,[片手刀]桜吹雪
98-82,[片手刀]兜割
98-83,[片手刀]雁行
98-84,[片手刀]苦無
137-31,[片手刀]鬼哭
152-8,[片手刀]釵
158-24,[片手刀]緋連雀
171-54,[片手刀]龍門
172-7,[片手刀]隼
183-71,[片手刀]十六夜
34-13,[両手剣]傭兵騎士団長大剣
34-14,[両手剣]ダーククレイモア
34-15,[両手剣]クレイモア
34-16,[両手剣]ミスリルクレイモア
34-17,[両手剣]グロリアスソード
34-18,[両手剣]アロンダイト
34-19,[両手剣]ツバイハンダー
34-20,[両手剣]トゥハンドソード
34-21,[両手剣]グレートソード
34-22,[両手剣]近衛騎士制式大剣
34-23,[両手剣]フランベルジュ
34-24,[両手剣]フォセ
120-49,[両手剣]ブラッディソード
120-50,[両手剣]ラグナロク(ﾚﾘｯｸ5)
120-52,[両手剣]バルムンク
144-15,[両手剣]ファルクス
149-14,[両手剣]名称不明
149-15,[両手剣]名称不明
163-103,[両手剣]アルゴル
170-105,[両手剣]ゴールドアルゴル
35-110,[両手棍]エルムスタッフ
35-111,[両手棍]ホリースタッフ
35-112,[両手棍]オークスタッフ
35-113,[両手棍]アッシュスタッフ
35-114,[両手棍]マホガニースタッフ
35-115,[両手棍]共和軍団兵制式戦杖
35-116,[両手棍]連邦賢者制式杖
35-117,[両手棍]スパイクドクラブ
35-118,[両手棍]ロックマッシャー
35-119,[両手棍]エボニーポール
35-120,[両手棍]エルムポール
35-121,[両手棍]ホリーポール
35-122,[両手棍]オークポール
35-123,[両手棍]アッシュポール
35-124,[両手棍]神代の杖
35-125,[両手棍]マホガニーポール
35-126,[両手棍]ルーンスタッフ(ﾙｰﾝ)
35-127,[両手棍]モンスターシグナ
126-28,[両手棍]ダークスタッフ
126-29,[両手棍]ウォータスタッフ
126-30,[両手棍]ウィンドスタッフ
126-31,[両手棍]アイススタッフ
126-32,[両手棍]サンダースタッフ
126-33,[両手棍]ファイアスタッフ
126-34,[両手棍]ライトスタッフ
126-35,[両手棍]アーススタッフ
126-36,[両手棍]トリックスタッフ
137-28,[両手棍]鉄砕棒
137-29,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-46,[両手棍]王国儀杖
148-47,[両手棍]連邦儀杖
148-48,[両手棍]共和国儀杖
149-13,[両手棍]猿棍
34-41,[両手斧]先任黄金銃士大斧
34-42,[両手斧]ヘビィアクス
34-43,[両手斧]バタフライアクス
34-44,[両手斧]グレートアクス
34-45,[両手斧]ブージ
34-46,[両手斧]ケーテン
34-47,[両手斧]ギガントアクス
34-48,[両手斧]ツェアシュテーラー
137-22,[両手斧]ルーンチョッパー(ﾙｰﾝ)
137-26,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
144-11,[両手斧]ヴォウジェ
149-16,[両手斧]名称不明
149-17,[両手斧]レコスヴォウジェ
163-102,[両手斧]アムード
170-104,[両手斧]ダークアムード
34-93,[両手刀]抜丸
34-94,[両手刀]太刀
34-95,[両手刀]三日月
34-96,[両手刀]細太刀
34-97,[両手刀]鬼切り
34-98,[両手刀]名称不明02
34-99,[両手刀]名称不明03
34-100,[両手刀]斬馬刀
34-101,[両手刀]名称不明04
34-102,[両手刀]阿修羅
34-103,[両手刀]無銘刀
34-104,[両手刀]村雨
34-105,[両手刀]骨喰
126-27,[両手刀]飾太刀
137-27,[両手刀]天の村雲(ﾚﾘｯｸ5)
144-14,[両手刀]名称不明
154-60,[両手刀]木刀
172-5,[両手刀]白刀
183-117,[両手刀]竹刀
35-15,[両手鎌]ダークサイズ
35-16,[両手鎌]サイズ
35-17,[両手鎌]ミスリルサイズ
35-18,[両手鎌]ブロンズザグナル
35-19,[両手鎌]ブラスザグナル
35-20,[両手鎌]ザグナル
35-21,[両手鎌]ミスリルザグナル
35-22,[両手鎌]デモンスライサー
120-53,[両手鎌]ボーンサイズ
137-25,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
137-32,[両手鎌]名称不明02
144-13,[両手鎌]マンデブラシックル
149-18,[両手鎌]アイボリシックル
158-25,[両手鎌]オリハルコンサイズ
172-6,[両手鎌]薙鎌
35-23,[両手槍]ハルバード
35-24,[両手槍]オックスタン
35-25,[両手槍]パルチザン
35-26,[両手槍]ブロンズスピア
35-27,[両手槍]ブラススピア
35-28,[両手槍]スピア
35-29,[両手槍]ハープーン
35-30,[両手槍]ダークランス
35-31,[両手槍]ランス
35-32,[両手槍]ミスリルランス
35-33,[両手槍]バルーチャ
35-34,[両手槍]サーメットランス
35-35,[両手槍]鎌槍
35-36,[両手槍]飛龍の槍
35-37,[両手槍]トライデント
35-38,[両手槍]グングニル(ﾚﾘｯｸ5)
137-24,[両手槍]ルーンハルバード(ﾙｰﾝ)
144-12,[両手槍]クーゼ
157-86,[両手槍]ピッチフォーク
158-23,[両手槍]オリハルコンランス
163-104,[両手槍]メザラク
171-53,[両手槍]ダークメザラク
172-4,[両手槍]偃月刀
184-85,[両手槍]バルキリーフォーク
36-1,[両手剣]ジャッジソード(GM)
314-00,Unknown
313-127,Unknown
313-106,Unknown
313-105,Unknown
313-78,Unknown
313-77,Unknown
