40-97,素手
276-44,[片手斧]Aymur (99)
210-109,[片手斧]Labrys
245-86,[片手斧]Farsha
276-51,[片手斧]Farsha (99)
246-44,[片手斧]Glyph Axe
264-125,[片手斧]Tonatiuh Axe
276-37,[片手斧]Guttler (99)
279-85,[片手斧]Ark Tabar
279-118,[片手斧]Aytanri
281-63,[片手斧]Unknown Axe
112-105,[片手刀]不動
112-106,[片手刀]脇指
112-107,[片手刀]小太刀
112-108,[片手刀]桜吹雪
112-109,[片手刀]兜割
112-110,[片手刀]雁行
112-111,[片手刀]苦無
142-027,[片手刀]鬼哭
152-16,[片手刀]釵
158-68,[片手刀]緋連雀
171-102,[片手刀]龍門
172-46,[片手刀]隼
183-101,[片手刀]十六夜
205-103,[片手刀]Nagi
276-46,[片手刀]Nagi (99)
210-111,[片手刀]Shusui
211-96,[片手刀]Oninohocho
247-42,[片手刀]Kannagi
276-38,[片手刀]Kikoku (99)
276-52,[片手刀]Kannagi (99)
246-45,[片手刀]Hochomasamune
279-86,[片手刀]Ikarigiri
40-98,[盾]名称不明01
40-99,[盾]名称不明02
40-100,[盾]リッターシルト
40-101,[盾]リッターシルト(予備
40-102,[盾]カイトシールド
40-103,[盾]ヒーターシールド
40-104,[盾]王立騎士団制式盾
40-105,[盾]神殿騎士団制式盾
40-106,[盾]近衛騎士制式盾
40-107,[盾]ダークシールド
40-108,[盾]甲羅の盾
40-109,[盾]畳楯
40-110,[盾]スクトゥム
40-111,[盾]タワーシールド
40-112,[盾]フェアリーシールド
40-113,[盾]メープルシールド
40-114,[盾]ラワンシールド
40-115,[盾]オークシールド
40-116,[盾]エルムシールド
40-117,[盾]マホガニーシールド
40-118,[盾]アスピス
40-119,[盾]ゴールドバックラー
40-120,[盾]タージェ
40-121,[盾]バックラー
40-122,[盾]ダークバックラー
40-123,[盾]オーキシュシールド
122-72,[盾]ジェネラルシールド
122-73,[盾]ケーニヒシールド
130-59,[盾]アケロンシールド
155-84,[盾]イージス
155-98,[盾]甲羅の盾(別ver.)
164-123,[盾]タリカー
164-124,[盾]ジャヌイヤ
215-114,[盾]Moogle Shield 
215-115,[盾]Nomad Shield
245-84,[盾]Seigneur Shield
261-96,[盾]Ochain
274-20,[盾]Ochain (99)
278-124,[盾]Adamas
284-9,[盾]Mandraguard
288-95,[盾]Janus Guard
