48-26,素手
127-36,[両手棍]アイススタッフ
127-37,[両手棍]サンダースタッフ
127-38,[両手棍]ファイアスタッフ
127-39,[両手棍]ライトスタッフ
127-40,[両手棍]アーススタッフ
127-41,[両手棍]トリックスタッフ
138-42,[両手棍]鉄砕棒
138-43,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-55,[両手棍]王国儀杖
148-56,[両手棍]連邦儀杖
148-57,[両手棍]共和国儀杖
149-49,[両手棍]猿棍
48-71,[両手斧]先任黄金銃士大斧
48-72,[両手斧]ヘビィアクス
48-73,[両手斧]バタフライアクス
48-74,[両手斧]グレートアクス
48-75,[両手斧]ブージ
48-76,[両手斧]ケーテン
48-77,[両手斧]ギガントアクス
48-78,[両手斧]ツェアシュテーラー
138-36,[両手斧]ルーンチョッパー(ﾙｰﾝ)
138-40,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
144-119,[両手斧]ヴォウジェ
149-52,[両手斧]名称不明
149-53,[両手斧]レコスヴォウジェ
163-120,[両手斧]アムード
170-116,[両手斧]ダークアムード
48-123,[両手刀]抜丸
48-124,[両手刀]太刀
48-125,[両手刀]三日月
48-126,[両手刀]細太刀
48-127,[両手刀]鬼切り
49-0,[両手刀]名称不明02
49-1,[両手刀]名称不明03
49-2,[両手刀]斬馬刀
49-3,[両手刀]名称不明04
49-4,[両手刀]阿修羅
49-5,[両手刀]無銘刀
49-6,[両手刀]村雨
49-7,[両手刀]骨喰
127-32,[両手刀]飾太刀
138-41,[両手刀]天の村雲(ﾚﾘｯｸ5)
144-122,[両手刀]名称不明
154-79,[両手刀]木刀
172-23,[両手刀]白刀
183-120,[両手刀]竹刀
49-45,[両手鎌]ダークサイズ
49-46,[両手鎌]サイズ
49-47,[両手鎌]ミスリルサイズ
49-48,[両手鎌]ブロンズザグナル
49-49,[両手鎌]ブラスザグナル
49-50,[両手鎌]ザグナル
49-51,[両手鎌]ミスリルザグナル
49-52,[両手鎌]デモンスライサー
121-60,[両手鎌]ボーンサイズ
138-39,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
138-46,[両手鎌]名称不明02
144-121,[両手鎌]マンデブラシックル
149-54,[両手鎌]アイボリシックル
158-49,[両手鎌]オリハルコンサイズ
172-24,[両手鎌]薙鎌
49-53,[両手槍]ハルバード
49-54,[両手槍]オックスタン
49-55,[両手槍]パルチザン
49-56,[両手槍]ブロンズスピア
49-57,[両手槍]ブラススピア
49-58,[両手槍]スピア
49-59,[両手槍]ハープーン
49-60,[両手槍]ダークランス
49-61,[両手槍]ランス
49-62,[両手槍]ミスリルランス
49-63,[両手槍]バルーチャ
49-64,[両手槍]サーメットランス
49-65,[両手槍]鎌槍
49-66,[両手槍]飛龍の槍
49-67,[両手槍]トライデント
49-68,[両手槍]グングニル(ﾚﾘｯｸ5)
138-38,[両手槍]ルーンハルバード(ﾙｰﾝ)
144-120,[両手槍]クーゼ
157-109,[両手槍]ピッチフォーク
158-47,[両手槍]オリハルコンランス
163-122,[両手槍]メザラク
171-71,[両手槍]ダークメザラク
172-22,[両手槍]偃月刀
184-91,[両手槍]バルキリーフォーク
313-112,Unknown
313-111,Unknown
313-84,Unknown
313-83,Unknown
