43-65,素手
126-122,[両手棍]ファイアスタッフ
126-123,[両手棍]ライトスタッフ
126-124,[両手棍]アーススタッフ
126-125,[両手棍]トリックスタッフ
137-123,[両手棍]鉄砕棒
137-124,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-52,[両手棍]王国儀杖
148-53,[両手棍]連邦儀杖
148-54,[両手棍]共和国儀杖
149-37,[両手棍]猿棍
43-110,[両手斧]先任黄金銃士大斧
43-111,[両手斧]ヘビィアクス
43-112,[両手斧]バタフライアクス
43-113,[両手斧]グレートアクス
43-114,[両手斧]ブージ
43-115,[両手斧]ケーテン
43-116,[両手斧]ギガントアクス
43-117,[両手斧]ツェアシュテーラー
137-117,[両手斧]ルーンチョッパー(ﾙｰﾝ)
137-121,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
144-83,[両手斧]ヴォウジェ
149-40,[両手斧]名称不明
149-41,[両手斧]レコスヴォウジェ
163-114,[両手斧]アムード
170-112,[両手斧]ダークアムード
44-34,[両手刀]抜丸
44-35,[両手刀]太刀
44-36,[両手刀]三日月
44-37,[両手刀]細太刀
44-38,[両手刀]鬼切り
44-39,[両手刀]名称不明02
44-40,[両手刀]名称不明03
44-41,[両手刀]斬馬刀
44-42,[両手刀]名称不明04
44-43,[両手刀]阿修羅
44-44,[両手刀]無銘刀
44-45,[両手刀]村雨
44-46,[両手刀]骨喰
126-116,[両手刀]飾太刀
137-122,[両手刀]天の村雲(ﾚﾘｯｸ5)
144-86,[両手刀]名称不明
154-72,[両手刀]木刀
172-17,[両手刀]白刀
183-119,[両手刀]竹刀
44-84,[両手鎌]ダークサイズ
44-85,[両手鎌]サイズ
44-86,[両手鎌]ミスリルサイズ
44-87,[両手鎌]ブロンズザグナル
44-88,[両手鎌]ブラスザグナル
44-89,[両手鎌]ザグナル
44-90,[両手鎌]ミスリルザグナル
44-91,[両手鎌]デモンスライサー
121-15,[両手鎌]ボーンサイズ
137-120,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
137-127,[両手鎌]名称不明02
144-85,[両手鎌]マンデブラシックル
149-42,[両手鎌]アイボリシックル
158-41,[両手鎌]オリハルコンサイズ
172-18,[両手鎌]薙鎌
44-92,[両手槍]ハルバード
44-93,[両手槍]オックスタン
44-94,[両手槍]パルチザン
44-95,[両手槍]ブロンズスピア
44-96,[両手槍]ブラススピア
44-97,[両手槍]スピア
44-98,[両手槍]ハープーン
44-99,[両手槍]ダークランス
44-100,[両手槍]ランス
44-101,[両手槍]ミスリルランス
44-102,[両手槍]バルーチャ
44-103,[両手槍]サーメットランス
44-104,[両手槍]鎌槍
44-105,[両手槍]飛龍の槍
44-106,[両手槍]トライデント
44-107,[両手槍]グングニル(ﾚﾘｯｸ5)
137-119,[両手槍]ルーンハルバード(ﾙｰﾝ)
144-84,[両手槍]クーゼ
157-98,[両手槍]ピッチフォーク
158-39,[両手槍]オリハルコンランス
163-116,[両手槍]メザラク
171-65,[両手槍]ダークメザラク
172-16,[両手槍]偃月刀
184-89,[両手槍]バルキリーフォーク
313-110,Unknown
313-109,Unknown
313-82,Unknown
313-81,Unknown
