53-22,素手
54-116,[片手剣]ジャドプラーテ
54-117,[片手剣]アイアンソード
54-118,[片手剣]ミスリルソード
54-119,[片手剣]ダインスレイフ
54-120,[片手剣]サーメットソード
54-121,[片手剣]アネラス
54-122,[片手剣]カッツバルゲル
54-123,[片手剣]ブロードソード
54-124,[片手剣]珊瑚の剣
54-125,[片手剣]フロッティ
54-126,[片手剣]バスタードソード
54-127,[片手剣]ハンティングソード
55-0,[片手剣]エスパドン
55-1,[片手剣]ナズ
55-2,[片手剣]古代の剣
55-3,[片手剣]カイザーソード
55-4,[片手剣]ダイセクター
55-5,[片手剣]名称不明09
55-6,[片手剣]グラットンソード
55-7,[片手剣]ウィングソード
121-104,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-87,[片手剣]ショテル
163-79,[片手剣]キリジ
164-115,[片手剣]マクアフティル
169-123,[片手剣]ダークキリジ
170-119,[片手剣]ドラゴンスレイヤー
171-79,[片手剣]サングインソード
175-14,[片手剣]オートクレール
183-89,[片手剣]スチールキリジ
184-92,[片手剣]ホフド
53-38,[片手棍]名称不明
53-75,[片手棍]オークカジェル
53-76,[片手棍]ボーンカジェル
53-77,[片手棍]ブッディガン
53-78,[片手棍]ダークメイス
53-79,[片手棍]ブロンズメイス
53-80,[片手棍]プラチナメイス
53-81,[片手棍]メイス
53-82,[片手棍]ミスリルメイス
53-83,[片手棍]アッシュクラブ
53-84,[片手棍]チェスナットクラブ
53-85,[片手棍]シェルバスター
53-86,[片手棍]グレートクラブ
53-87,[片手棍]ダークモール
53-88,[片手棍]ブロンズハンマー
53-89,[片手棍]ブラスハンマー
53-90,[片手棍]ウォーハンマー
53-91,[片手棍]モール
54-65,[片手棍]セプター
54-66,[片手棍]ダークロッド
54-67,[片手棍]ブロンズロッド
54-68,[片手棍]ブラスロッド
54-69,[片手棍]ロッド
54-70,[片手棍]ミスリルロッド
54-71,[片手棍]ボーンロッド
54-72,[片手棍]エボニーワンド
54-73,[片手棍]ユーワンド
54-74,[片手棍]メープルワンド
54-75,[片手棍]神代の錫
54-76,[片手棍]ミステルテイン
54-77,[片手棍]ローズワンド
54-78,[片手棍]チェスナットワンド
54-79,[片手棍]ウィローワンド
54-80,[片手棍]カドゥケウス
54-81,[片手棍]名称不明
54-82,[片手棍]名称不明
54-83,[片手棍]チョコボワンド
54-84,[片手棍]名称不明
54-85,[片手棍]名称不明
54-86,[片手棍]名称不明
54-87,[片手棍]スターロッド
54-88,[片手棍]アスクレピオス
54-89,[片手棍]呪術の杖
54-90,[片手棍]スキールニルワンド
54-91,[片手棍]アースワンド
54-92,[片手棍]名称不明10
54-93,[片手棍]名称不明11
54-94,[片手棍]名称不明12
54-95,[片手棍]フェイワンド
55-26,[片手棍]ミョルニル(ﾚﾘｯｸ5)
138-93,[片手棍]ルーンロッド(ﾙｰﾝ)
138-100,[片手棍]名称不明15
149-60,[片手棍]モルゲンステルン
150-88,[片手棍]名称不明
159-97,[片手棍]チャームロッド
160-118,[片手棍]モグロッド
164-2,[片手棍]ジャダグナ
170-32,[片手棍]ノマドモグロッド
175-41,[片手棍]胡鬼板
183-88,[片手棍]ブラスジャダグナ
53-51,[片手斧]ブロンズアクス
53-52,[片手斧]ブラスアクス
53-53,[片手斧]バトルアクス
53-54,[片手斧]ミスリルアクス
53-55,[片手斧]ボーンアクス
53-56,[片手斧]タバルジン
53-57,[片手斧]ダークタバール
53-58,[片手斧]タバール
53-59,[片手斧]ダークアクス
53-60,[片手斧]ルーンアクス
53-61,[片手斧]ナトジーク
53-62,[片手斧]ダークピック
53-63,[片手斧]ウォーピック
53-64,[片手斧]ミスリルピック
53-65,[片手斧]ボーンピック
53-66,[片手斧]オーキシュアクス
138-104,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-32,[片手斧]トマホーク
171-76,[片手斧]シリウスアクス
99-78,[片手刀]不動
99-79,[片手刀]脇指
99-80,[片手刀]小太刀
99-81,[片手刀]桜吹雪
99-82,[片手刀]兜割
99-83,[片手刀]雁行
99-84,[片手刀]苦無
138-101,[片手刀]鬼哭
152-12,[片手刀]釵
158-56,[片手刀]緋連雀
171-78,[片手刀]龍門
172-31,[片手刀]隼
183-87,[片手刀]十六夜
53-39,[両手剣]傭兵騎士団長大剣
53-40,[両手剣]ダーククレイモア
53-41,[両手剣]クレイモア
53-42,[両手剣]ミスリルクレイモア
53-43,[両手剣]グロリアスソード
53-44,[両手剣]アロンダイト
53-45,[両手剣]ツバイハンダー
53-46,[両手剣]トゥハンドソード
53-47,[両手剣]グレートソード
53-48,[両手剣]近衛騎士制式大剣
53-49,[両手剣]フランベルジュ
53-50,[両手剣]フォセ
121-102,[両手剣]ブラッディソード
121-103,[両手剣]ラグナロク(ﾚﾘｯｸ5)
121-105,[両手剣]バルムンク
145-31,[両手剣]ファルクス
149-62,[両手剣]名称不明
149-63,[両手剣]名称不明
163-127,[両手剣]アルゴル
170-121,[両手剣]ゴールドアルゴル
55-8,[両手棍]エルムスタッフ
55-9,[両手棍]ホリースタッフ
55-10,[両手棍]オークスタッフ
55-11,[両手棍]アッシュスタッフ
55-12,[両手棍]マホガニースタッフ
55-13,[両手棍]共和軍団兵制式戦杖
55-14,[両手棍]連邦賢者制式杖
55-15,[両手棍]スパイクドクラブ
55-16,[両手棍]ロックマッシャー
55-17,[両手棍]エボニーポール
55-18,[両手棍]エルムポール
55-19,[両手棍]ホリーポール
55-20,[両手棍]オークポール
55-21,[両手棍]アッシュポール
55-22,[両手棍]神代の杖
55-23,[両手棍]マホガニーポール
55-24,[両手棍]ルーンスタッフ(ﾙｰﾝ)
55-25,[両手棍]モンスターシグナ
127-77,[両手棍]ダークスタッフ
127-78,[両手棍]ウォータスタッフ
127-79,[両手棍]ウィンドスタッフ
127-80,[両手棍]アイススタッフ
127-81,[両手棍]サンダースタッフ
127-82,[両手棍]ファイアスタッフ
127-83,[両手棍]ライトスタッフ
127-84,[両手棍]アーススタッフ
127-85,[両手棍]トリートスタッフ
138-98,[両手棍]鉄砕棒
138-99,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-58,[両手棍]王国儀杖
148-59,[両手棍]連邦儀杖
148-60,[両手棍]共和国儀杖
149-61,[両手棍]猿棍
53-67,[両手斧]先任黄金銃士大斧
53-68,[両手斧]ヘビィアクス
53-69,[両手斧]バタフライアクス
53-70,[両手斧]グレートアクス
53-71,[両手斧]ブージ
53-72,[両手斧]ケーテン
53-73,[両手斧]ギガントアクス
53-74,[両手斧]ツェアシュテーラー
138-92,[両手斧]ルーンチョッパー(ﾙｰﾝ)
138-96,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
145-27,[両手斧]ヴォウジェ
149-64,[両手斧]名称不明
149-65,[両手斧]レコスヴォウジェ
163-126,[両手斧]アムード
170-120,[両手斧]ダークアムード
53-119,[両手刀]抜丸
53-120,[両手刀]太刀
53-121,[両手刀]三日月
53-122,[両手刀]細太刀
53-123,[両手刀]鬼切り
53-124,[両手刀]名称不明02
53-125,[両手刀]名称不明03
53-126,[両手刀]斬馬刀
53-127,[両手刀]名称不明04
54-0,[両手刀]阿修羅
54-1,[両手刀]無銘刀
54-2,[両手刀]村雨
54-3,[両手刀]骨喰
127-76,[両手刀]飾太刀
138-97,[両手刀]天の村雲(ﾚﾘｯｸ5)
145-30,[両手刀]名称不明
154-86,[両手刀]木刀
172-29,[両手刀]白刀
183-121,[両手刀]竹刀
54-41,[両手鎌]ダークサイズ
54-42,[両手鎌]サイズ
54-43,[両手鎌]ミスリルサイズ
54-44,[両手鎌]ブロンズザグナル
54-45,[両手鎌]ブラスザグナル
54-46,[両手鎌]ザグナル
54-47,[両手鎌]ミスリルザグナル
54-48,[両手鎌]デモンスライサー
121-106,[両手鎌]ボーンサイズ
138-95,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
138-102,[両手鎌]名称不明02
145-29,[両手鎌]マンデブラシックル
149-66,[両手鎌]アイボリシックル
158-57,[両手鎌]オリハルコンサイズ
172-30,[両手鎌]薙鎌
54-49,[両手槍]ハルバード
54-50,[両手槍]オックスタン
54-51,[両手槍]パルチザン
54-52,[両手槍]ブロンズスピア
54-53,[両手槍]ブラススピア
54-54,[両手槍]スピア
54-55,[両手槍]ハープーン
54-56,[両手槍]ダークランス
54-57,[両手槍]ランス
54-58,[両手槍]ミスリルランス
54-59,[両手槍]バルーチャ
54-60,[両手槍]サーメットランス
54-61,[両手槍]鎌槍
54-62,[両手槍]飛龍の槍
54-63,[両手槍]トライデント
54-64,[両手槍]グングニル(ﾚﾘｯｸ5)
138-94,[両手槍]ルーンハルバード(ﾙｰﾝ)
145-28,[両手槍]クーゼ
157-115,[両手槍]ピッチフォーク
158-55,[両手槍]オリハルコンランス
164-0,[両手槍]メザラク
171-77,[両手槍]ダークメザラク
172-28,[両手槍]偃月刀
184-93,[両手槍]バルキリーフォーク
313-114,Unknown
313-113,Unknown
313-86,Unknown
313-85,Unknown
