55-27,素手
55-28,[盾]名称不明01
55-29,[盾]名称不明02
55-30,[盾]リッターシルト
55-31,[盾]リッターシルト(予備
55-32,[盾]カイトシールド
55-33,[盾]ヒーターシールド
55-34,[盾]王立騎士団制式盾
55-35,[盾]神殿騎士団制式盾
55-36,[盾]近衛騎士制式盾
55-37,[盾]ダークシールド
55-38,[盾]甲羅の盾
55-39,[盾]畳楯
55-40,[盾]スクトゥム
55-41,[盾]タワーシールド
55-42,[盾]フェアリーシールド
55-43,[盾]メープルシールド
55-44,[盾]ラワンシールド
55-45,[盾]オークシールド
55-46,[盾]エルムシールド
55-47,[盾]マホガニーシールド
55-48,[盾]アスピス
55-49,[盾]ゴールドバックラー
55-50,[盾]タージェ
55-51,[盾]バックラー
55-52,[盾]ダークバックラー
55-53,[盾]オーキシュシールド
122-81,[盾]ジェネラルシールド
122-82,[盾]ケーニヒシールド
130-62,[盾]アケロンシールド
155-87,[盾]イージス
155-101,[盾]甲羅の盾(別ver.)
165-4,[盾]タリカー
165-5,[盾]ジャヌイヤ

