3-2,オーク神
4-78,パンジャナンジャ[釣りギルド]
4-79,ミスラNPC
4-80,ミスラNPC
4-83,ガルカNPC
4-88,ヒュム♂[船(飛空艇？)の操舵手]
4-89,タル♀NPC
4-90,タル♂NPC
4-91,鼻の院の瞑想タル♀？
4-92,目の院の書き写しタル♂
4-93,目の院の書き写しタル♀
4-94,ミスラNPC
4-95,セミ・ラフィーナ
4-96,ナナー・ミーゴ
4-97,ミスラNPC
4-98,カーディアン
4-99,カーディアン
4-100,ヒュムおじさんNPC
4-101,ヒュムおじさんNPC
4-103,一匹コウモリ(赤)
4-104,三連コウモリ
4-106,アーリマン
4-107,アーリマン(黒)
4-109,ウサギ(黒)
4-110,ウサギ(白)
4-112,蜂(黒)
4-113,リーチ
4-114,リーチ(青)
4-115,ボム
4-116,ボム
4-117,サソリ
4-118,サソリ
4-119,サソリ
4-120,サソリ
4-121,コカトリス
4-123,スライム
4-124,スライム
4-125,グゥーブー
4-126,グゥーブー
4-127,マンドラゴラ
5-0,マンドラゴラ(黒)
5-1,ドール
5-2,ドール(白)
5-3,トラ
5-4,トラ(白虎)
5-7,ラプトル
5-8,ラプトル(緑)
5-9,ドゥーム
5-13,トカゲ
5-14,トカゲ(灰)
5-15,ダルメル
5-16,ダルメル
5-17,大鳥
5-18,大鳥(朱雀)
5-19,大羊
5-21,雄羊
5-22,雄羊
5-23,魚
5-24,魚(黄)
5-25,タコ
5-26,タコ(白)
5-27,カニ
5-28,カニ(灰)
5-33,狼
5-34,狼
5-35,クアール
5-36,幽霊
5-38,サボテンダー
5-39,サボテンダー
5-40,キノコ
5-41,キノコ
5-42,モルボル
5-43,モルボル(触手赤)
5-44,ゲイザー
5-45,ゲイザー
5-46,トレント(成木)
5-47,トレント(成木)
5-48,トレント(球根)
5-49,トレント(球根)
5-50,クロウラー
5-51,クロウラー(緑)
5-52,ベヒーモス
5-53,ベヒーモス
5-54,甲虫
5-55,甲虫(黒)
5-56,マジックポット
5-57,マジックポット(白)
5-58,大マジックポット
5-59,大マジックポット
5-60,オポオポ
5-61,オポオポ
5-62,ダークドラゴン
5-63,ダークドラゴン
5-64,ミミズ
5-65,ミミズ(触手赤)
5-67,オーク戦車
5-68,カーディアン
5-69,ゴーレム
5-70,ゴーレム
5-71,エレメンタル(炎？)
5-72,エレメンタル(氷？)
5-73,エレメンタル(風？)
5-74,エレメンタル(土)
5-75,エレメンタル(水？)
5-76,エレメンタル(雷？)
5-77,エレメンタル(光？)
5-78,エレメンタル(闇？)
5-79,鳥(赤)
5-80,鳥(黒)
5-81,トンボ
5-82,トンボ(赤)
5-84,ウェポン 5-116まで
5-88,ウェポン
5-94,ウェポン
5-100,ウェポン
5-101,ウェポン
5-109,ウェポン
5-110,ウェポン
5-111,ウェポン
5-115,ウェポン
5-116,ウェポン
5-117,ゴブリン 6-16まで
5-118,ゴブリン
5-119,ゴブリン
5-120,ゴブリン
5-121,ゴブリン
5-122,ゴブリン
5-123,ゴブリン
5-124,ゴブリン
5-125,ゴブリン
5-126,ゴブリン
5-127,ゴブリン
6-0,ゴブリン
6-1,ゴブリン
6-2,ゴブリン
6-3,ゴブリン
6-4,ゴブリン
6-5,ゴブリン
6-6,ゴブリン
6-7,ゴブリン
6-8,ゴブリン
6-9,ゴブリン
6-10,ゴブリン
6-11,ゴブリン
6-12,ゴブリン
6-13,ゴブリン
6-14,ゴブリン
6-15,ゴブリン
6-16,ゴブリン
6-32,ダークストーカー 6-53まで
6-33,ダークストーカー
6-34,ダークストーカー
6-35,ダークストーカー
6-36,ダークストーカー
6-37,ダークストーカー
6-38,ダークストーカー
6-39,ダークストーカー
6-40,ダークストーカー
6-41,ダークストーカー
6-42,ダークストーカー
6-43,ダークストーカー
6-44,ダークストーカー
6-45,ダークストーカー
6-46,ダークストーカー
6-47,ダークストーカー
6-48,ダークストーカー
6-49,ダークストーカー
6-50,ダークストーカー
6-51,ダークストーカー
6-52,ダークストーカー
6-53,ダークストーカー
6-54,骨 6-69まで
6-61,骨
6-62,骨
6-63,骨
6-64,骨
6-65,骨
6-66,骨
6-67,骨
6-68,骨
6-69,骨
6-70,ヤグード 6-93まで
6-71,ヤグード
6-72,ヤグード
6-73,ヤグード
6-74,ヤグード
6-75,ヤグード
6-76,ヤグード
6-77,ヤグード
6-78,ヤグード
6-79,ヤグード
6-80,ヤグード
6-81,ヤグード
6-82,ヤグード
6-83,ヤグード
6-84,ヤグード
6-85,ヤグード
6-86,ヤグード
6-87,ヤグード
6-88,ヤグード
6-89,ヤグード
6-90,ヤグード
6-91,ヤグード
6-92,ヤグード
6-93,ヤグード
6-94,オーク 6-118まで
6-95,オーク
6-96,オーク
6-97,オーク
6-98,オーク
6-99,オーク
6-100,オーク
6-101,オーク
6-102,オーク
6-103,オーク
6-104,オーク
6-105,オーク
6-106,オーク
6-107,オーク
6-108,オーク
6-109,オーク
6-110,オーク
6-111,オーク
6-112,オーク
6-113,オーク
6-114,オーク
6-115,オーク
6-116,オーク
6-117,オーク
6-118,オーク
6-119,クゥダフ 7-18まで
6-120,クゥダフ
6-121,クゥダフ
6-122,クゥダフ
6-123,クゥダフ
6-124,クゥダフ
6-125,クゥダフ
6-126,クゥダフ
6-127,クゥダフ
7-0,クゥダフ
7-1,クゥダフ
7-2,クゥダフ
7-3,クゥダフ
7-4,クゥダフ
7-5,クゥダフ
7-6,クゥダフ
7-7,クゥダフ
7-8,クゥダフ
7-9,クゥダフ
7-10,クゥダフ
7-11,クゥダフ
7-12,クゥダフ
7-13,クゥダフ
7-14,クゥダフ
7-15,クゥダフ
7-16,クゥダフ
7-17,クゥダフ
7-18,クゥダフ
7-22,ゴブリン
7-27,オークマスク付
7-32,クゥダフ
7-33,クゥダフ
7-36,クゥダフ
7-45,デーモン
7-50,巨人 7-63まで
7-51,巨人
7-52,巨人
7-53,巨人
7-54,巨人
7-55,巨人
7-56,巨人
7-57,巨人
7-58,巨人
7-59,巨人
7-60,巨人
7-61,巨人
7-62,巨人
7-63,巨人
7-64,デーモン
7-65,デーモン
7-66,デーモン
7-67,デーモン
7-68,デーモン
7-69,デーモン
7-70,デーモン
7-71,デーモン
7-72,デーモン
7-73,デーモン
7-74,デーモン
7-75,デーモン
7-76,デーモン
7-77,デーモン
7-78,デーモン
7-79,デーモン
7-80,闇の王
7-81,闇の王(黒)
7-82,ヒュムおじさんNPC
7-84,エル♂NPC[本]
7-85,エル♂NPC
7-86,エル♂NPC[鎧]
7-87,モンブロー
7-88,エル♂NPC
7-89,エル♀NPC[悪霊付]
7-90,タル♂NPC[詩人]
7-91,ミスラNPC[詩人]
7-92,エル婆NPC
7-95,旗[サンドリア]
7-96,旗[バストゥーク]
7-97,旗[ウィンダス]
7-98,旗[獣人]
7-99,ミスラNPC
7-100,カーディアンNPC
7-101,キーポポ[革工ギルド]
7-102,カーディアンNPC
7-103,タル子供♂NPC
7-104,タル子供♀NPC
7-105,ミスラNPC
7-106,ミスラNPC
7-107,ミスラNPC
7-108,ヒュム♂[飛空挺の操舵手]
7-109,時計の長針
7-110,時計の短針
7-111,ザイド
7-112,ヒュム♂[飛空挺の操舵手]
7-113,ビードリング[鍛冶ギルド]
7-114,デスティン[マント無し]
7-115,ザイド[剣無し]
7-116,ジェフリー
7-117,ヒュム♂NPC
7-118,ヒュム♂NPC
7-119,ヒュム♂NPC
7-120,タル♂NPC[詩人]
7-121,カーディアンNPC
7-122,エル♂修道士NPC
8-1,ヒュム爺NPC
8-2,ヒュム爺NPC
8-7,ヒュム婆NPC
8-8,ヒュム婆NPC
8-13,ヒュムおじさんNPC 8-22まで
8-14,ヒュムおじさんNPC
8-15,ヒュムおじさんNPC
8-16,ヒュムおじさんNPC
8-17,ヒュムおじさんNPC
8-18,ヒュムおじさんNPC
8-19,ヒュムおじさんNPC
8-20,ヒュムおじさんNPC
8-21,ヒュムおじさんNPC
8-22,ヒュムおじさんNPC
8-26,ヒュムおばさんNPC 8-31まで
8-27,ヒュムおばさんNPC
8-28,ヒュムおばさんNPC
8-29,ヒュムおばさんNPC
8-30,ヒュムおばさんNPC
8-31,ヒュムおばさんNPC
8-32,ヒュム貴婦人NPC 8-34まで
8-33,ヒュム貴婦人NPC
8-34,ヒュム貴婦人NPC
8-75,カラハバルハ
8-83,どこかの院の院長？
8-107,ガル子供 8-110まで
8-108,ガル子供
8-109,ガル子供
8-110,ガル子供
8-113,宝箱(茶A)
9-5,オーク
9-6,オーク
9-7,オーク
9-12,オーク
9-13,オーク
9-14,オーク
9-18,オーク
9-22,オーク
9-32,クゥダフ
9-40,ヤグード 9-44まで
9-41,ヤグード
9-42,ヤグード
9-43,ヤグード
9-44,ヤグード
9-51,ヤグード
9-56,骨(短剣)
9-61,骨(短剣)
9-69,骨(片手剣)
9-78,骨(片手斧)
9-85,骨(両手槍)
9-90,骨(片手棍)
9-91,骨(片手棍)
9-96,骨(片手棍)
9-106,骨(両手棍)
9-107,骨(両手棍)
9-121,骨(盾)
90-56,チョコボ[PC騎乗時]
92-101,宝箱(茶B)
92-102,宝箱(青)
92-103,魔法人形
95-68,マンドラゴラ
95-69,ペリィ・ヴァシャイ
97-9,ミミック(茶A)
97-10,ミミック(茶B)
97-11,ミミック(青)
97-12,トレント[桜]
97-58,エレメンタル(炎？)
97-59,エレメンタル(氷？)
97-60,エレメンタル(風？)
97-61,エレメンタル(土)
97-62,エレメンタル(水？)
97-63,エレメンタル(雷？)
97-64,エレメンタル(光？)
97-65,エレメンタル(闇？)
97-66,カーバンクル
97-67,フェンリル
97-68,イフリート
97-69,タイタン
97-70,リヴァイアサン
97-71,ガルーダ
97-72,シヴァ
97-73,ラムウ
97-74,飛竜
97-75,カムラナート[鎧]
97-77,ミスラ[AAサンプル]
97-78,タル♂[AAサンプル]
97-79,ガル[AAサンプル]
97-80,ディテクター
97-81,ワイバーン(黒
97-82,巨人 97-85まで
97-83,巨人
97-84,巨人
97-85,巨人
97-86,カーバンクル
97-88,龍王[鎧]
119-58,イフリート
119-59,タイタン
119-60,リヴァイアサン
119-61,ガルーダ
119-62,シヴァ
119-63,ラムウ
119-72,蜘蛛
119-73,蜘蛛(白)
119-74,蜘蛛(黄)
119-75,蜘蛛(赤)
119-76,飛竜[AA]
119-77,ヤグ神
119-78,亀神
119-80,エル♀NPC[詩人]
119-81,ガルカNPC[詩人]
123-7,エルドナーシュ[台有]
123-8,板
123-9,ディテクター
123-10,エルドナーシュ
123-11,台
123-12,エルドナーシュ
125-72,ザイド
125-73,ザイド(影)
125-74,フォルカー[戦闘]
125-75,トリオン[戦闘]
125-76,アジドマルジド[戦闘]
125-77,オーク[聖剣]
128-78,カニ(キャリー)
128-79,'04門松
128-80,マート[戦闘]
128-81,'03クリスマス用飾り 128-88まで
130-95,桜 130-105まで
130-96,桜
130-97,桜
130-98,桜
130-99,桜
130-100,桜
130-101,桜
130-102,桜
130-103,桜
130-104,桜
130-105,桜
130-106,茶屋
130-107,茶屋
130-108,飛竜[AA]
130-109,裏オーク 130-113まで
130-110,裏オーク
130-111,裏オーク
130-112,裏オーク
130-113,裏オーク
130-114,裏クゥダフ 130-118まで
130-115,裏クゥダフ
130-116,裏クゥダフ
130-117,裏クゥダフ
130-118,裏クゥダフ
130-119,デュナミスオーク
130-120,デュナミスオーク
130-121,デュナミスクゥダフ
130-122,デュナミスクゥダフ
130-123,デュナミスヤグード
130-124,デュナミスヤグード
130-125,デュナミスゴブリン
130-126,デュナミスゴブリン
130-127,裏ヤグード 131-3まで
131-0,裏ヤグード
131-1,裏ヤグード
131-2,裏ヤグード
131-3,裏ヤグード
131-4,裏ゴブリン 131-8まで
131-5,裏ゴブリン
131-6,裏ゴブリン
131-7,裏ゴブリン
131-8,裏ゴブリン
136-9,ルーク[サンド対ウィン]
136-10,ルーク[バス対サンド]
136-11,ルーク[ウィン対バス]
136-13,アダマン亀
136-14,アダマン亀(色白)
136-15,ウェポン 136-29まで
136-16,ウェポン
136-17,ウェポン
136-18,ウェポン
136-19,ウェポン
136-20,ウェポン
136-21,ウェポン
136-22,ウェポン
136-23,ウェポン
136-24,ウェポン
136-25,ウェポン
136-26,ウェポン
136-27,ウェポン
136-28,ウェポン
136-29,ウェポン
136-51,デーモン
142-94,マンティコア
142-95,カーディアン
142-96,ウェポン
142-97,ウェポン
142-98,ウェポン
142-99,カーバンクル[イベント]
142-101,本
142-102,ノーマッドモーグリ
146-70,ヴリトラ
146-109,モブリン
146-110,モブリン
146-111,モブリン
147-4,トンベリ
147-5,トンベリ
147-6,トンベリ
147-7,トンベリ
148-64,ウェポン
148-65,ウェポン
148-68,トレント(秋)
148-69,トレント(冬)
148-92,オーク(槍)
148-93,'04クリスマス飾り 148-98まで
148-94,'04クリスマス飾り
148-95,'04クリスマス飾り
148-97,'04クリスマス飾り
148-98,'04クリスマス飾り
148-99,'04クリスマス飾り 148-100まで
148-100,'04クリスマス飾り
148-103,'05門松(黄)
148-104,'05門松(青)
148-105,'05門松(赤)
148-106,'05割符ゴブ
149-101,麒麟
149-115,玄武
150-3,不明
150-4,不明
150-5,青龍
150-13,トレント(春)
150-14,マッキーチェブキー
151-28,ナグモラーダ
151-29,ペンダント 151-30まで
151-30,ペンダント
151-126,テンゼン[戦闘]
151-127,トンベリ(赤) 152-6まで
152-0,トンベリ(赤)
152-1,トンベリ(赤)
152-2,トンベリ(赤)
152-3,トンベリ(赤)
152-4,トンベリ(赤)
152-5,トンベリ(赤)
152-6,トンベリ(赤)
152-21,ミミズ(灰)
152-36,3匹コウモリ(赤)
152-61,謎の少年(羽)
152-122,トンベリ(赤)
152-123,フライトラップ
152-124,フライトラップ
152-125,エフト
152-126,エフト
154-94,謎の戒め
156-15,アントリオン
156-16,アントリオン(青)
156-17,ダイアマイト
156-18,不明
156-25,プリッシュ[戦闘]
156-32,謎の少年(羽)[戦闘]
156-33,あますずメイン-バス
156-34,あますず飾り-バス
156-35,あますず飾り-バス
156-36,あますずメイン-サンド
156-37,あますず飾り-サンド
156-38,あますず飾り-サンド
156-39,あますずメイン-ウィン
156-40,あますず飾り-ウィン
156-41,バッファロー 156-42まで
156-42,バッファロー
156-50,謎の少年(羽)
156-51,ボム風船-バス色
156-52,ボム風船-サンド色
156-53,ボム風船-ウィン色
156-84,バス特設花火売場
156-85,サンド特設花火売り場
156-86,ウィン特設花火売り場
156-120,盆踊りタル♂
156-121,盆踊りタル♀
157-123,サハギン
159-26,アンティカ
159-27,アンティカ
159-28,アンティカ
159-29,アンティカ
159-30,サハギン
159-31,サハギン(黄)
159-32,サハギン(黄)
159-41,フェンリル
159-51,ディアボロス
159-81,バハムート
159-82,エルドナーシュ
159-83,カムラナート
161-2,ポステン
161-3,フランメブレンナー
162-48,看板ガルカ
162-127,ゴブリン(赤)
165-88,マトン(通常)
168-21,チョコボの卵
168-22,ヒナチョコボ
168-23,コチョコボ(黄)
169-42,コチョコボ(黒)
169-43,コチョコボ(青)
169-44,コチョコボ(赤)
169-45,コチョコボ(緑)
172-68,一匹コウモリ
172-69,ウサギ
172-70,蜂
172-71,ボム
172-72,ヘクトアイズ
172-73,オーク戦車
172-74,龍
173-91,ボム
184-21,宝箱
184-39,レース受付-???
184-40,レース受付-サンド
184-41,レース受付-バス
184-42,レース受付-ウィン184-118,コース
184-119,コース(杖)
185-4,タウルス
190-125,昔ゴブリン
191-1,ガルカ
191-2,ミスラ
191-3,踊り子人♀
191-4,禁断の口(蔦)
191-5,禁断の口
197-76,ピクシー
202-45,本(赤)
202-46,本(白)
202-47,チェス
203-121,巨人(鎧)
203-122,巨人(鎧)
203-123,巨人(鎧)
204-0,柱
204-1,白チョコボ
207-7,テントウムシ
207-8,ナメクジ
207-9,ラフレシア
207-10,イクシオン
211-25,黒チョコボ(鎧)
212-44,？？？
213-28,アリコーン
216-1,チゴー
216-5,モーグリ
216-6,ノマドモーグリ
216-7,手紙
216-8,チケット
217-32,ヴァラー本
218-91,箱(大)
218-92,箱(小)
218-108,メイズモンガー井戸
220-40,宝箱(茶)
220-41,宝箱(赤)
220-81,アダマンタス
220-82,ベヒーモス
220-83,ファヴニール
221-127,釣竿
222-24,kira
222-33,ノマドモグ置物
222-42,チゴー(青)
222-87,セイウチ
222-119,翼竜
223-4,タウルス(赤)
223-5,デーモン(赤)
223-6,デーモン(赤)
223-7,デーモン(赤)
223-8,デーモン(赤)
223-9,デーモン(赤)
223-117,ゴブリン
224-22,スノール
224-23,ダハク
224-52,骨頭
225-11,Bow of Light
225-12,Horn
227-45,Odin Statue
227-46,Alexander Statue
230-105,Hunt Registry
238-59,Lady Lilith (Armor)
238-91,Corpselight
238-98,Krabkatoa
239-35,Orcus
239-65,Magian Moogle
239-68,Snoll
239-69,Vampyr
239-70,Lord Ruthven
239-71,Verthandi
239-72,Yilbegan
239-127,Odin
240-0,Odin
240-56,Map table
240-109,Iratham
240-111,Veridical Conflux
241-84,Purbol
241-85,Briareus
241-86,Lacovie
241-87,Black Pachypodium
241-88,Adenium
241-89,Vileberry
241-92,Gold Mimic
241-93,Gold Treasure Chest
241-94,Volker
245-35,Clionid
245-36,Limule
249-48,Black Ahriman
249-49,Quetzalli
249-50,Karakul
249-51,Bhoot
249-52,Worm
249-53,Xzomit
249-54,Cuelebre
249-55,Wanderer
249-56,Weeper
249-57,Seether
249-58,Thinker
249-59,Gorger
249-60,Craver
249-61,Ovni
249-62,Qutrub
249-64,Puk
249-65,Soulflayer
249-66,Adamantoise
249-67,Wyrm
249-68,Morbol
249-69,Karakul
249-70,Tiger
249-71,Blue Wyvern
249-72,Qutrub
250-2,Lycopodium
250-54,Cavernous Maw
250-62,Cerberus
250-63,Hydra
250-64,Khimaira
250-69,Kutharei
250-70,Yaanei
250-71,Sippoy
250-72,Titlacauan
250-73,Bukhis
250-74,Amhuluk
250-75,Worm
250-76,Iron Giant (Sword)
250-77,Iron Giant (Club)
250-78,Iron Giant head
250-79,Amoeban
250-80,Murex
257-66,Ark Angel HM Statue
257-67,Ark Angel EV Statue
257-68,Ark Angel TT Statue
257-69,Ark Angel MR Statue
257-70,Ark Angel GK Statue
257-71,Magian Moogle
258-40,Raptor
258-41,Lizard
258-42,	Pugil
258-43,Courier Crab
258-44,Xzomit
258-45,Yellow Puk
258-46,Yellow Puk
258-47,Mandragora
258-48,Monoceros
258-49,Sedna
258-50,Lynx
258-51,Eruca
258-52,Green Crawler
258-56,Eruca
258-57,Euvhi
258-58,Smok
258-59,Hpemde
258-60,Phuabo
258-61,Zdei
258-62,Zdei
258-87,Apkallu
258-88,Oboron
258-89,Cirein-Croin
258-90,Oboron
258-91,Qiqirn
258-92,Qiqirn
258-93,Marid
258-94,Draugar
258-95,Acrolith
258-96,Wamoura Prince
258-97,Wamoura Prince
258-98,Wamoura
258-99,Archaic Gear
258-100,Archaic Gears
258-101,Archaic Chariot
258-102,Armored Chariot
258-103,Long Bowed Chariot
258-104,Battleclad Chariot
258-105,Long Armed Chariot
258-106,Dvergr
258-107,Dvergr
258-109,Spheroid
258-118,Abyssea Elemental
258-119,Abyssea Elemental
258-120,Abyssea Elemental
258-121,Abyssea Elemental
258-122,Shinryu
258-123,Rani
258-124,Raja
259-0,Magian Moogle
259-1,Bennu
259-2,Orthrus
259-3,Alfard
259-4,Khrysokhimaira
259-5,Blanga
259-11,Chickcharney
259-12,Isgebind
259-13,Pantokrator
259-14,Maere
259-15,Uragnite
259-16,Amphitrite
259-35,Lynx
259-36,Portia
259-73,Elemental Gyves
259-74,Elemental Gyves
259-75,Elemental Gyves
259-76,Elemental Gyves
259-77,Elemental Gyves
259-78,Elemental Gyves
259-79,Elemental Gyves
259-80,Elemental Gyves
259-81,Degenhard
261-44,Goblin
261-45,White doves
261-46,Flower bouquet
261-50,Rabbit
261-56,Mildaurion
261-57,Prishe
261-110,Transscendental Radiance
262-29,Frog
262-30,Frog
262-110,Voidwrought
262-111,Iron Giant (Club)
262-112,Iron Giant head
263-4,Hahava
263-5,Cait Sith
263-55,Planar Rift
263-56,Calaeno
263-75,Prishe Statue
265-20,Poroggo
265-102,Sabotender Campeador
265-107,Kaggen
265-108,Uptala
265-109,Aello
265-110,Scorpion
265-111,Lynx
265-112,Akvan
266-68,Samurai skeleton
266-122,Hippogryph
267-23,Pil
267-58,Large crystal
267-61,Ebisu Fishing Rod (Hume Male)
267-62,Ebisu Fishing Rod (Hume Female)
267-63,Ebisu Fishing Rod (Elvaan Male)
267-64,Ebisu Fishing Rod (Elvaan Female)
267-65,Ebisu Fishing Rod (Tarutaru)
267-66,Ebisu Fishing Rod (Mithra)
267-67,Ebisu Fishing Rod (Galka)
267-83,Flan
267-84,Gnat
267-85,Rafflesia
267-86,Wivre
267-87,Scolopendrid
267-88,Smilodon
267-111,Adenium
267-125,Lancing Lamorak
267-126,Ig-Alima
267-127,Botulus Rex
268-0,Asb
268-1,Rukh
268-2,Sarbaz
268-3,Bhishani
268-4,Kalasutrax
268-5,Gaunab
268-6,Ocythoe
268-7,RW NW Prt M Hrw
268-8,Gwynn Ap Nudd
268-9,Fjalar
268-10,Isarukitsck
268-11,Provenance Watcher
268-12,Abununnu
272-86,Hippogryph
272-87,Stachysaurus
272-88,Sandworm
272-89,Sandworm
272-90,Wyvern
272-105,Smierc
277-5,Morta
277-6,Bismark
277-7,Wazir
277-8,Shah
277-9,Tsui-Goab
277-10,Dimgruzub
277-11,Brekekekex
277-12,Blue frog
277-13,Blue frog
280-7,Mole
280-30,Crab
280-31,Yeti
280-83,Rock monster
280-84,Rock monster
282-116,Ark Angel HM
282-117,Ark Angel EV
282-118,Ark Angel MR
282-119,Ark Angel TT
282-120,Ark Angel GK
284-14,Mumor (Battle)
286-76,Red Wamoura
286-77,Mimic
286-78,Gallu
286-79,	Black Leech
286-80,Tiamat Wyvern
286-81,Blue Bee
286-82,Furry Rarab
286-83,Red Raptor
286-84,Yellow Ladybug
286-95,Yve'noile
286-96,Tenzen
286-97,Lilisette (Battle)
286-98,Excenmille
286-99,Elvira
286-100,Lehko Habhoka
286-103,Treasure Chest
286-104,Ovjang
286-105,Mnejing
286-106,Cait Sith
286-107,Gilgamesh
286-108,Prince Luzaf
286-109,Ulmia
286-110,Murmor (Battle)
286-111,Aphmau (lol Battle)
286-112,Lion (Battle)
289-72,Fuzzy Behemoth
291-54,Malboro
291-55,Draugar
291-56,Brasscap
313-70,Unknown
313-69,Unknown
313-68,Unknown
313-67,Unknown
313-66,Unknown
313-65,Unknown
313-36,Unknown
311-039,Unknown
311-040,Unknown
311-038,Unknown
311-032,Unknown
311-033,Unknown
311-034,Unknown
311-035,Unknown
311-036,Unknown
311-037,Unknown
311-01,Unknown
311-0,Unknown
310-118,Unknown
310-117,Unknown
310-113,Unknown
310-112,Unknown
310-41,Unknown
310-36,Unknown
310-37,Unknown
310-38,Unknown
310-39,Unknown
310-40,Unknown
309-125,Unknown
309-119,Unknown
309-120,Unknown
309-121,Unknown
309-122,Unknown
309-123,Unknown
309-124,Unknown
309-118,Unknown
309-106,Unknown
309-107,Unknown
309-108,Unknown
309-109,Unknown
309-110,Unknown
309-111,Unknown
309-112,Unknown
309-113,Unknown
309-114,Unknown
309-115,Unknown
309-116,Unknown
309-117,Unknown
309-104,Unknown
309-20,Unknown
309-21,Unknown
309-22,Unknown
309-23,Unknown
309-24,Unknown
309-25,Unknown
309-26,Unknown
309-27,Unknown
309-28,Unknown
309-29,Unknown
309-30,Unknown
309-31,Unknown
309-32,Unknown
309-33,Unknown
309-34,Unknown
309-35,Unknown
309-36,Unknown
309-37,Unknown
