29-20,素手
30-114,[片手剣]ジャドプラーテ
30-115,[片手剣]アイアンソード
30-116,[片手剣]ミスリルソード
30-117,[片手剣]ダインスレイフ
30-118,[片手剣]サーメットソード
30-119,[片手剣]アネラス
30-120,[片手剣]カッツバルゲル
30-121,[片手剣]ブロードソード
30-122,[片手剣]珊瑚の剣
30-123,[片手剣]フロッティ
30-124,[片手剣]バスタードソード
30-125,[片手剣]ハンティングソード
30-126,[片手剣]エスパドン
30-127,[片手剣]ナズ
31-0,[片手剣]古代の剣
31-1,[片手剣]カイザーソード
31-2,[片手剣]ダイセクター
31-3,[片手剣]名称不明
31-4,[片手剣]グラットンソード
31-5,[片手剣]ウィングソード
120-6,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-27,[片手剣]ショテル
163-0,[片手剣]キリジ
164-110,[片手剣]マクアフティル
169-108,[片手剣]ダークキリジ
170-99,[片手剣]ドラゴンスレイヤー
171-49,[片手剣]サングインソード
175-4,[片手剣]オートクレール
183-69,[片手剣]スチールキリジ
184-82,[片手剣]ホフド
29-36,[片手棍]名称不明
29-73,[片手棍]オークカジェル
29-74,[片手棍]ボーンカジェル
29-75,[片手棍]ブッディガン
29-76,[片手棍]ダークメイス
29-77,[片手棍]ブロンズメイス
29-78,[片手棍]プラチナメイス
29-79,[片手棍]メイス
29-80,[片手棍]ミスリルメイス
29-81,[片手棍]アッシュクラブ
29-82,[片手棍]チェスナットクラブ
29-83,[片手棍]シェルバスター
29-84,[片手棍]グレートクラブ
29-85,[片手棍]ダークモール
29-86,[片手棍]ブロンズハンマー
29-87,[片手棍]ブラスハンマー
29-88,[片手棍]ウォーハンマー
29-89,[片手棍]モール
30-63,[片手棍]セプター
30-64,[片手棍]ダークロッド
30-65,[片手棍]ブロンズロッド
30-66,[片手棍]ブラスロッド
30-67,[片手棍]ロッド
30-68,[片手棍]ミスリルロッド
30-69,[片手棍]ボーンロッド
30-70,[片手棍]エボニーワンド
30-71,[片手棍]ユーワンド
30-72,[片手棍]メープルワンド
30-73,[片手棍]神代の錫
30-74,[片手棍]ミステルテイン
30-75,[片手棍]ローズワンド
30-76,[片手棍]チェスナットワンド
30-77,[片手棍]ウィローワンド
30-78,[片手棍]カドゥケウス
30-79,[片手棍]名称不明
30-80,[片手棍]名称不明
30-81,[片手棍]チョコボワンド
30-82,[片手棍]名称不明
30-83,[片手棍]名称不明
30-84,[片手棍]名称不明
30-85,[片手棍]スターロッド
30-86,[片手棍]アスクレピオス
30-87,[片手棍]呪術の杖
30-88,[片手棍]スキールニルワンド
30-89,[片手棍]アースワンド
30-90,[片手棍]名称不明10
30-91,[片手棍]名称不明11
30-92,[片手棍]名称不明12
30-93,[片手棍]フェイワンド
31-24,[片手棍]ミョルニル(ﾚﾘｯｸ5)
136-104,[片手棍]ルーンロッド(ﾙｰﾝ)
136-111,[片手棍]名称不明15
149-0,[片手棍]モルゲンステルン
150-28,[片手棍]名称不明
159-92,[片手棍]チャームステッキ
160-113,[片手棍]モグロッド
163-100,[片手棍]ジャダグナ
170-27,[片手棍]ノマドモグロッド
175-36,[片手棍]胡鬼板
183-68,[片手棍]ブラスジャダグナ
29-49,[片手斧]ブロンズアクス
29-50,[片手斧]ブラスアクス
29-51,[片手斧]バトルアクス
29-52,[片手斧]ミスリルアクス
29-53,[片手斧]ボーンアクス
29-54,[片手斧]タバルジン
29-55,[片手斧]ダークタバール
29-56,[片手斧]タバール
29-57,[片手斧]ダークアクス
29-58,[片手斧]ルーンアクス
29-59,[片手斧]ナトジーク
29-60,[片手斧]ダークピック
29-61,[片手斧]ウォーピック
29-62,[片手斧]ミスリルピック
29-63,[片手斧]ボーンピック
29-64,[片手斧]オーキシュアクス
136-115,[片手斧]ガトラー(ﾚﾘｯｸ5)
143-108,[片手斧]トマホーク
171-46,[片手斧]シリウスアクス
98-47,[片手刀]不動
98-48,[片手刀]脇指
98-49,[片手刀]小太刀
98-50,[片手刀]桜吹雪
98-51,[片手刀]兜割
98-52,[片手刀]雁行
98-53,[片手刀]苦無
136-112,[片手刀]鬼哭
152-7,[片手刀]釵
158-16,[片手刀]緋連雀
171-48,[片手刀]龍門
172-1,[片手刀]隼
183-67,[片手刀]十六夜
29-37,[両手剣]傭兵騎士団長大剣
29-38,[両手剣]ダーククレイモア
29-39,[両手剣]クレイモア
29-40,[両手剣]ミスリルクレイモア
29-41,[両手剣]グロリアスソード
29-42,[両手剣]アロンダイト
29-43,[両手剣]ツバイハンダー
29-44,[両手剣]トゥハンドソード
29-45,[両手剣]グレートソード
29-46,[両手剣]近衛騎士制式大剣
29-47,[両手剣]フランベルジュ
29-48,[両手剣]フォセ
120-4,[両手剣]ブラッディソード
120-5,[両手剣]ラグナロク(ﾚﾘｯｸ5)
120-7,[両手剣]バルムンク
143-107,[両手剣]ファルクス
149-2,[両手剣]名称不明
149-3,[両手剣]名称不明
163-97,[両手剣]アルゴル
170-101,[両手剣]ゴールドアルゴル
31-6,[両手棍]エルムスタッフ
31-7,[両手棍]ホリースタッフ
31-8,[両手棍]オークスタッフ
31-9,[両手棍]アッシュスタッフ
31-10,[両手棍]マホガニースタッフ
31-11,[両手棍]共和軍団兵制式戦杖
31-12,[両手棍]連邦賢者制式杖
31-13,[両手棍]スパイクドクラブ
31-14,[両手棍]ロックマッシャー
31-15,[両手棍]エボニーポール
31-16,[両手棍]エルムポール
31-17,[両手棍]ホリーポール
31-18,[両手棍]オークポール
31-19,[両手棍]アッシュポール
31-20,[両手棍]神代の杖
31-21,[両手棍]マホガニーポール
31-22,[両手棍]ルーンスタッフ(ﾙｰﾝ)
31-23,[両手棍]モンスターシグナ
125-112,[両手棍]ダークスタッフ
125-113,[両手棍]ウォータスタッフ
125-114,[両手棍]ウィンドスタッフ
125-115,[両手棍]アイススタッフ
125-116,[両手棍]サンダースタッフ
125-117,[両手棍]ファイアスタッフ
125-118,[両手棍]ライトスタッフ
125-119,[両手棍]アーススタッフ
125-120,[両手棍]トリックスタッフ
136-109,[両手棍]鉄砕棒
136-110,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-43,[両手棍]王国儀杖
148-44,[両手棍]連邦儀杖
148-45,[両手棍]共和国儀杖
149-1,[両手棍]猿棍
29-65,[両手斧]先任黄金銃士大斧
29-66,[両手斧]ヘビィアクス
29-67,[両手斧]バタフライアクス
29-68,[両手斧]グレートアクス
29-69,[両手斧]ブージ
29-70,[両手斧]ケーテン
29-71,[両手斧]ギガントアクス
29-72,[両手斧]ツェアシュテーラー
136-103,[両手斧]ルーンチョッパー(ﾙｰﾝ)
136-107,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
143-103,[両手斧]ヴォウジェ
149-4,[両手斧]名称不明
149-5,[両手斧]レコスヴォヴジェ
163-96,[両手斧]アムード
170-100,[両手斧]ダークアムード
29-117,[両手刀]抜丸
29-118,[両手刀]太刀
29-119,[両手刀]三日月
29-120,[両手刀]細太刀
29-121,[両手刀]鬼切り
29-122,[両手刀]名称不明02
29-123,[両手刀]名称不明03
29-124,[両手刀]斬馬刀
29-125,[両手刀]名称不明
29-126,[両手刀]阿修羅
29-127,[両手刀]無銘刀
30-0,[両手刀]村雨
30-1,[両手刀]骨喰
125-111,[両手刀]飾太刀
136-108,[両手刀]天の村雲(ﾚﾘｯｸ5)
143-106,[両手刀]名称不明
154-54,[両手刀]木刀
171-127,[両手刀]白刀
183-116,[両手刀]竹刀
30-39,[両手鎌]ダークサイズ
30-40,[両手鎌]サイズ
30-41,[両手鎌]ミスリルサイズ
30-42,[両手鎌]ブロンズザグナル
30-43,[両手鎌]ブラスザグナル
30-44,[両手鎌]ザグナル
30-45,[両手鎌]ミスリルザグナル
30-46,[両手鎌]デモンスライサー
120-8,[両手鎌]ボーンサイズ
136-106,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
136-113,[両手鎌]名称不明02
143-105,[両手鎌]マンデブラシックル
149-6,[両手鎌]アイボリシックル
158-17,[両手鎌]オリハルコンサイズ
172-0,[両手鎌]薙鎌
30-47,[両手槍]ハルバード
30-48,[両手槍]オックスタン
30-49,[両手槍]パルチザン
30-50,[両手槍]ブロンズスピア
30-51,[両手槍]ブラススピア
30-52,[両手槍]スピア
30-53,[両手槍]ハープーン
30-54,[両手槍]ダークランス
30-55,[両手槍]ランス
30-56,[両手槍]ミスリルランス
30-57,[両手槍]バルーチャ
30-58,[両手槍]サーメットランス
30-59,[両手槍]鎌槍
30-60,[両手槍]飛龍の槍
30-61,[両手槍]トライデント
30-62,[両手槍]グングニル(ﾚﾘｯｸ5)
136-105,[両手槍]ルーンハルバード(ﾙｰﾝ)
143-104,[両手槍]クーゼ
157-80,[両手槍]ピッチフォーク
158-15,[両手槍]オリハルコンランス
163-98,[両手槍]メザラク
171-47,[両手槍]ダークメザラク
171-126,[両手槍]偃月刀
184-83,[両手槍]バルキリーフォーク
31-25,[両手剣]ジャッジソード(GM)
313-122,Unknown
313-121,Unknown
313-104,Unknown
313-103,Unknown
313-76,Unknown
313-75,Unknown
