50-31,素手
171-2,[片手剣]ドラゴンスレイヤー
171-113,[片手剣]サングインソード
175-26,[片手剣]オートクレール
183-109,[片手剣]スチールキリジ
184-100,[片手剣]ホフド
114-38,[片手棍]名称不明
114-55,[片手棍]オークカジェル
114-56,[片手棍]ボーンカジェル
114-57,[片手棍]ブッディガン
114-58,[片手棍]ダークメイス
114-59,[片手棍]ブロンズメイス
114-60,[片手棍]プラチナメイス
114-61,[片手棍]メイス
114-62,[片手棍]ミスリルメイス
114-63,[片手棍]アッシュクラブ
114-64,[片手棍]チェスナットクラブ
114-65,[片手棍]シェルバスター
114-66,[片手棍]グレートクラブ
114-67,[片手棍]ダークモール
114-68,[片手棍]ブロンズハンマー
114-69,[片手棍]ブラスハンマー
114-70,[片手棍]ウォーハンマー
114-71,[片手棍]モール
114-109,[片手棍]セプター
114-110,[片手棍]ダークロッド
114-111,[片手棍]ブロンズロッド
114-112,[片手棍]ブラスロッド
114-113,[片手棍]ロッド
114-114,[片手棍]ミスリルロッド
114-115,[片手棍]ボーンロッド
114-116,[片手棍]エボニーワンド
114-117,[片手棍]ユーワンド
114-118,[片手棍]メープルワンド
114-119,[片手棍]神代の錫
114-120,[片手棍]ミステルテイン
114-121,[片手棍]ローズワンド
114-122,[片手棍]チェスナットワンド
114-123,[片手棍]ウィローワンド
114-124,[片手棍]カドゥケウス
114-125,[片手棍]名称不明01
114-126,[片手棍]名称不明02
114-127,[片手棍]チョコボワンド
115-0,[片手棍]名称不明04
115-1,[片手棍]名称不明05
115-2,[片手棍]名称不明06
115-3,[片手棍]スターロッド
115-4,[片手棍]アスクレピオス
115-5,[片手棍]呪術の杖
115-6,[片手棍]スキールニルワンド
115-7,[片手棍]アースワンド
115-8,[片手棍]名称不明10
115-9,[片手棍]名称不明11
115-10,[片手棍]名称不明12
115-11,[片手棍]フェイワンド
115-52,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-041,[片手棍]ルーンロッド(ﾙｰﾝ)
142-042,[片手棍]名称不明15
149-88,[片手棍]モルゲンステルン
150-115,[片手棍]名称不明
159-103,[片手棍]チャームロッド
160-124,[片手棍]モグロッド
164-38,[片手棍]ジャダグナ
170-38,[片手棍]ノマドモグロッド
175-47,[片手棍]胡鬼板
183-108,[片手棍]ブラスジャダグナ
114-39,[片手斧]ブロンズアクス
114-40,[片手斧]ブラスアクス
114-41,[片手斧]バトルアクス
114-42,[片手斧]ミスリルアクス
114-43,[片手斧]ボーンアクス
114-44,[片手斧]タバルジン
114-45,[片手斧]ダークタバール
114-46,[片手斧]タバール
114-47,[片手斧]ダークアクス
114-48,[片手斧]ルーンアクス
114-49,[片手斧]ナトジーク
114-50,[片手斧]ダークピック
114-51,[片手斧]ウォーピック
114-52,[片手斧]ミスリルピック
114-53,[片手斧]ボーンピック
114-54,[片手斧]オーキシュアクス
142-045,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-76,[片手斧]トマホーク
171-111,[片手斧]シリウスアクス
115-53,[片手刀]不動
115-54,[片手刀]脇指
115-55,[片手刀]小太刀
115-56,[片手刀]桜吹雪
115-57,[片手刀]兜割
115-58,[片手刀]雁行
115-59,[片手刀]苦無
142-43,[片手刀]鬼哭
152-18,[片手刀]釵
158-70,[片手刀]緋連雀
171-112,[片手刀]龍門
172-52,[片手刀]隼
183-107,[片手刀]十六夜
50-32,[盾]名称不明01
50-33,[盾]名称不明02
50-34,[盾]リッターシルト
50-35,[盾]リッターシルト(予備
50-36,[盾]カイトシールド
50-37,[盾]ヒーターシールド
50-38,[盾]王立騎士団制式盾
50-39,[盾]神殿騎士団制式盾
50-40,[盾]近衛騎士制式盾
50-41,[盾]ダークシールド
50-42,[盾]甲羅の盾
50-43,[盾]畳楯
50-44,[盾]スクトゥム
50-45,[盾]タワーシールド
50-46,[盾]フェアリーシールド
50-47,[盾]メープルシールド
50-48,[盾]ラワンシールド
50-49,[盾]オークシールド
50-50,[盾]エルムシールド
50-51,[盾]マホガニーシールド
50-52,[盾]アスピス
50-53,[盾]ゴールドバックラー
50-54,[盾]タージェ
50-55,[盾]バックラー
50-56,[盾]ダークバックラー
50-57,[盾]オーキシュシールド
122-78,[盾]ジェネラルシールド
122-79,[盾]ケーニヒシールド
130-61,[盾]アケロンシールド
155-86,[盾]イージス
155-100,[盾]甲羅の盾(別ver.)
165-1,[盾]タリカー
165-2,[盾]ジャヌイヤ

