57-120,素手
139-15,[両手斧]ブラビューラ(ﾚﾘｯｸ5)
145-63,[両手斧]ヴォウジェ
149-76,[両手斧]名称不明
149-77,[両手斧]レコスヴォウジェ
164-19,[両手斧]アムード
170-124,[両手斧]ダークアムード
58-89,[両手刀]抜丸
58-90,[両手刀]太刀
58-91,[両手刀]三日月
58-92,[両手刀]細太刀
58-93,[両手刀]鬼切り
58-94,[両手刀]名称不明02
58-95,[両手刀]名称不明03
58-96,[両手刀]斬馬刀
58-97,[両手刀]名称不明04
58-98,[両手刀]阿修羅
58-99,[両手刀]無銘刀
58-100,[両手刀]村雨
58-101,[両手刀]骨喰
127-120,[両手刀]飾太刀
139-16,[両手刀]天の村雲(ﾚﾘｯｸ5)
145-66,[両手刀]名称不明
154-93,[両手刀]木刀
172-35,[両手刀]白刀
183-122,[両手刀]竹刀
59-11,[両手鎌]ダークサイズ
59-12,[両手鎌]サイズ
59-13,[両手鎌]ミスリルサイズ
59-14,[両手鎌]ブロンズザグナル
59-15,[両手鎌]ブラスザグナル
59-16,[両手鎌]ザグナル
59-17,[両手鎌]ミスリルザグナル
59-18,[両手鎌]デモンスライサー
122-23,[両手鎌]ボーンサイズ
139-14,[両手鎌]アポカリプス(ﾚﾘｯｸ5)
139-21,[両手鎌]名称不明02
145-65,[両手鎌]マンデブラシックル
149-78,[両手鎌]アイボリシックル
158-65,[両手鎌]オリハルコンサイズ
172-36,[両手鎌]薙鎌
59-19,[両手槍]ハルバード
59-20,[両手槍]オックスタン
59-21,[両手槍]パルチザン
59-22,[両手槍]ブロンズスピア
59-23,[両手槍]ブラススピア
59-24,[両手槍]スピア
59-25,[両手槍]ハープーン
59-26,[両手槍]ダークランス
59-27,[両手槍]ランス
59-28,[両手槍]ミスリルランス
59-29,[両手槍]バルーチャ
59-30,[両手槍]サーメットランス
59-31,[両手槍]鎌槍
59-32,[両手槍]飛龍の槍
59-33,[両手槍]トライデント
59-34,[両手槍]グングニル(ﾚﾘｯｸ5)
139-13,[両手槍]ルーンハルバード(ﾙｰﾝ)
145-64,[両手槍]クーゼ
157-121,[両手槍]ピッチフォーク
158-63,[両手槍]オリハルコンランス
164-21,[両手槍]メザラク
171-83,[両手槍]ダークメザラク
172-34,[両手槍]偃月刀
184-95,[両手槍]バルキリーフォーク
313-116,Unknown
313-115,Unknown
313-102,Unknown
313-101,Unknown
313-88,Unknown
313-87,Unknown
